GEOID,White,Black,AIAN,Asian,NHPI,Hispanic
06037127520,345,205,0,239,0,4038
06037206010,500,17,0,1030,0,1919
06037297501,1273,29,14,152,0,994
06037208620,248,353,95,1044,35,2091
06037216401,2381,142,0,412,29,400
06037481201,262,16,0,2304,0,1293
06037265306,599,57,0,461,0,541
06037271704,1545,164,0,945,0,137
06037920109,2563,173,0,586,307,713
06037134907,1943,603,109,346,0,811
06037407301,157,27,0,873,0,2623
06037702600,3223,193,0,1086,17,942
06037502500,121,21,0,70,0,4043
06037603008,158,744,0,388,0,2482
06037651101,1605,113,78,2016,0,591
06037920116,2848,47,0,204,0,1578
06037800103,2333,10,0,595,0,517
06037206201,474,432,0,742,0,394
06037532900,160,318,0,50,0,5719
06037189600,2441,115,14,190,0,591
06037219800,268,281,0,22,0,2336
06037117530,543,205,0,784,0,4053
06037236206,33,1128,0,68,0,1861
06037602402,981,395,3,572,0,5100
06037127603,139,155,0,199,0,2311
06037301501,1333,0,0,102,44,234
06037139801,2858,0,0,180,0,179
06037602002,163,360,0,75,0,2382
06037402706,406,130,0,104,0,2818
06037572301,285,234,0,561,59,2579
06037651221,975,154,9,1501,0,760
06037226002,450,380,0,193,0,706
06037535400,14,275,0,0,0,3099
06037123420,1539,122,0,221,0,2501
06037131400,1678,125,29,838,38,2823
06037267700,1629,49,0,1509,0,353
06037900610,585,428,0,16,0,2275
06037134424,1962,107,0,547,0,59
06037212702,745,126,0,1807,0,544
06037404402,259,22,0,419,0,3722
06037404503,169,76,0,519,151,1975
06037530901,65,0,0,0,0,3889
06037541200,193,3412,0,42,0,2277
06037553801,182,708,0,92,0,2985
06037910807,3120,186,0,827,0,1636
06037297202,1694,217,10,154,0,1985
06037402406,308,91,0,607,17,3512
06037409000,1052,265,0,432,0,5732
06037910605,856,426,0,78,0,3655
06037670001,1259,204,9,463,0,1344
06037480903,241,13,6,1738,0,822
06037501803,777,75,0,49,0,3465
06037135111,1616,135,0,390,0,1488
06037301702,3128,134,0,1227,27,1458
06037401801,2117,186,0,897,0,1221
06037430102,518,61,6,632,0,3571
06037501400,368,52,0,109,0,2789
06037139505,1418,86,0,224,0,353
06037183220,793,15,4,766,0,1229
06037111302,2123,277,5,970,0,1425
06037231100,301,497,0,46,7,2475
06037273404,1238,65,0,104,0,26
06037139502,2419,51,0,176,0,615
06037239602,11,630,0,29,0,3033
06037910815,3020,97,2,135,0,1762
06037204600,149,29,0,100,0,3639
06037134520,653,296,0,734,0,3417
06037404901,109,8,33,1206,0,3931
06037462001,389,475,0,313,16,3004
06037551802,569,30,0,292,0,2898
06037920031,3232,36,0,871,0,1799
06037124000,3184,208,46,269,0,456
06037401002,1974,428,0,186,0,1610
06037113238,750,173,0,701,0,2490
06037123901,1513,307,0,161,0,2264
06037532101,88,13,0,439,0,6717
06037650502,1894,287,0,1047,0,770
06037900301,1160,1033,0,317,0,2027
06037135204,2627,264,0,573,0,894
06037104321,11,26,8,13,0,2795
06037106111,1217,122,8,548,0,2726
06037191710,440,33,0,69,0,2014
06037117510,327,220,24,192,0,2984
06037139705,3145,58,79,413,17,20
06037241001,37,1191,0,0,0,3180
06037433803,77,27,0,971,0,2156
06037134103,946,192,35,654,0,2103
06037191301,546,132,9,494,0,852
06037212306,258,96,0,1141,0,1262
06037240010,10,600,0,187,0,3101
06037127910,688,226,85,354,0,3650
06037571201,1969,159,0,233,0,1190
06037227020,12,2,0,2,0,3490
06037238000,156,3391,0,19,0,1385
06037531701,3,105,0,0,0,5290
06037543305,412,770,0,163,42,2301
06037573102,468,483,0,416,0,1436
06037217002,2982,477,0,537,0,580
06037911100,633,246,47,93,0,6152
06037207901,885,586,89,1728,0,267
06037430501,2764,433,0,626,0,595
06037481714,48,45,0,2141,0,334
06037209403,169,405,0,591,0,3549
06037407601,88,62,0,754,0,3281
06037575901,629,879,9,350,0,1501
06037197410,1735,68,0,388,0,1211
06037240901,0,160,0,0,0,2343
06037301601,3916,66,0,345,0,1035
06037134306,694,216,0,825,0,1901
06037106112,853,120,0,361,0,3622
06037242300,17,1057,19,1,0,3757
06037541401,87,422,0,158,0,2726
06037113424,941,100,0,469,0,1530
06037265410,1419,0,0,180,0,68
06037293307,348,191,0,284,0,1679
06037603600,941,190,0,1058,0,1814
06037264303,1982,12,0,252,0,208
06037401202,1682,75,0,445,0,2100
06037403722,656,226,0,679,0,3583
06037183101,925,12,9,321,0,1628
06037910301,2458,52,61,84,20,1499
06037113213,1847,148,0,1018,0,1683
06037920322,1601,12,0,130,0,804
06037920340,789,15,0,147,0,1811
06037191500,1133,264,0,928,11,2974
06037199110,173,0,0,162,0,1968
06037226410,0,39,0,0,9,3497
06037226420,22,194,0,223,18,4768
06037555107,1148,415,0,1497,15,1963
06037430701,1453,42,0,2219,0,1123
06037208001,364,313,0,543,0,1243
06037267800,1961,88,0,877,17,168
06037271804,1373,72,0,404,0,390
06037104620,147,13,0,0,0,3106
06037910212,1724,239,16,127,16,1152
06037240301,114,466,51,14,14,2199
06037480802,249,58,0,1308,0,1542
06037535606,14,10,0,0,0,1875
06037542800,3,1601,0,1,0,1558
06037554511,242,470,0,2531,29,248
06037113235,836,55,0,51,0,529
06037240401,60,1019,0,50,0,4721
06037407502,196,21,0,375,0,3297
06037620704,2232,0,5,914,0,341
06037124204,722,123,0,101,0,1342
06037294701,152,131,0,40,0,2340
06037403601,1337,144,0,1110,0,3893
06037463103,1474,145,0,1873,30,1945
06037900807,780,1979,0,218,0,1184
06037901008,660,911,0,299,40,1233
06037143902,2004,57,0,250,0,590
06037300602,2031,9,0,509,34,537
06037463000,1036,140,0,756,0,613
06037534404,36,0,0,7,0,3075
06037128220,1049,236,0,145,0,1451
06037119001,381,18,36,897,16,2880
06037212304,274,117,0,205,0,1145
06037219700,351,886,0,112,0,2742
06037543502,402,356,0,1310,0,2157
06037121600,1031,9,0,681,0,815
06037541605,27,879,0,303,0,3754
06037572700,129,216,0,2671,275,1878
06037602900,93,577,0,374,0,3155
06037207303,850,345,12,451,0,476
06037128703,1977,490,0,159,0,505
06037237202,106,1178,27,12,0,3054
06037267406,1142,82,0,313,0,395
06037502603,316,1,1,25,0,2986
06037552700,554,163,0,1419,0,4378
06037601501,17,211,0,64,0,3184
06037267405,1525,87,0,219,0,328
06037301901,3121,51,0,342,0,306
06037311400,1604,7,0,181,0,425
06037800205,2146,110,0,968,0,610
06037119900,250,67,0,507,0,3640
06037121222,466,174,0,125,0,4310
06037577602,2196,34,37,370,0,485
06037990300,0,0,0,0,0,0
06037301502,5890,33,0,386,0,713
06037531202,11,81,0,33,0,4368
06037620521,2387,56,0,883,0,1028
06037231800,24,216,0,0,0,5193
06037542200,20,1875,0,8,0,4901
06037600801,54,2346,0,42,0,202
06037920106,1076,117,0,159,0,2078
06037189802,1198,119,0,106,0,403
06037221401,339,1297,0,198,0,922
06037231210,130,1096,0,137,95,2552
06037461300,4301,126,21,190,0,912
06037576602,2275,701,2,228,1,1206
06037670407,1922,467,0,2385,0,667
06037131022,534,110,18,438,0,1693
06037541402,0,461,0,33,0,2724
06037222700,1501,272,26,1347,0,949
06037980021,1,0,0,11,0,4
06037213100,215,420,5,1611,0,501
06037218500,321,613,0,69,0,1493
06037920038,257,63,0,169,0,2448
06037119802,182,35,0,441,30,2394
06037980020,0,0,0,0,0,0
06037533501,15,0,0,0,0,2781
06037106642,2319,34,0,317,0,734
06037128910,2610,115,0,424,0,1111
06037293302,732,190,0,1309,0,2050
06037570902,1807,185,12,194,22,966
06037670417,1181,82,0,1084,0,100
06037212620,355,186,0,1862,0,1346
06037113426,669,28,0,472,0,1036
06037195901,1172,61,0,383,0,737
06037201700,731,334,18,831,0,3114
06037232401,196,835,0,53,29,2199
06037534203,83,20,0,23,5,3155
06037650702,2140,2,0,1277,10,723
06037670701,3003,10,0,1610,0,1491
06037294820,49,8,0,73,0,3145
06037134423,2257,0,0,613,0,513
06037209105,0,143,0,247,0,2715
06037550902,477,77,21,838,0,3924
06037104103,269,578,0,230,0,3023
06037119700,1006,0,0,1259,0,1935
06037500900,290,90,14,151,0,4711
06037910715,509,680,0,425,0,5262
06037480601,1400,214,0,1030,0,1212
06037530603,502,14,0,132,0,3770
06037670324,3896,56,0,1086,0,137
06037211320,195,114,7,707,0,1893
06037530700,131,0,0,17,0,1875
06037231500,119,1582,0,303,0,2825
06037433305,94,36,8,911,0,3440
06037462301,916,215,5,501,22,2050
06037535902,145,77,0,20,0,5429
06037574800,1999,161,0,228,0,567
06037603901,696,261,0,312,0,2496
06037121210,401,66,25,292,9,2246
06037910608,414,492,0,87,0,2950
06037113323,1094,112,0,732,0,1874
06037301300,1674,6,0,140,0,165
06037402903,81,139,0,685,0,2712
06037123204,570,59,0,170,0,2509
06037238320,77,937,0,0,50,2449
06037310705,1185,127,0,987,0,53
06037533002,5,36,0,0,0,2176
06037900102,276,14,4,0,0,339
06037535701,276,0,0,323,0,5121
06037555300,1041,286,6,487,0,2970
06037980030,0,0,0,0,0,0
06037620601,2618,98,0,1827,0,990
06037265301,3567,791,34,5255,23,2656
06037272202,1488,80,0,316,0,782
