GEOID,White,Black,AIAN,Asian,NHPI,Hispanic
25025000101,1170,109,0,243,0,118
25025000102,2215,335,8,821,0,476
25025000201,2673,261,0,344,0,413
25025000202,2015,73,0,571,0,831
25025000301,1818,274,0,218,0,231
25025000302,2074,252,0,592,0,154
25025000401,2929,212,0,907,0,625
25025000402,2343,66,0,559,0,462
25025000502,3805,493,0,797,0,287
25025000503,1590,56,10,211,0,136
25025000505,1073,184,0,264,33,152
25025000506,1520,210,0,451,0,185
25025000601,1554,132,0,1096,0,260
25025000603,496,156,0,612,0,447
25025000604,1205,66,0,773,0,226
25025000701,2960,165,0,652,0,251
25025000703,1064,129,36,254,0,143
25025000704,2310,202,0,840,0,522
25025000804,1475,510,0,591,0,410
25025000805,1327,253,0,1099,0,359
25025000806,1270,319,0,368,0,233
25025000807,1767,296,0,663,0,163
25025010103,1767,129,2,988,0,396
25025010104,2704,256,19,816,18,516
25025010204,1845,231,0,551,0,283
25025010205,1900,95,0,1106,0,588
25025010206,1130,66,12,310,0,544
25025010300,3130,337,0,712,0,667
25025010403,1144,56,0,783,0,219
25025010404,2494,213,0,999,42,394
25025010405,2834,488,19,1267,24,1370
25025010408,810,140,0,213,0,66
25025010500,1677,330,0,439,0,649
25025010600,2111,166,0,645,0,183
25025010701,1649,52,0,237,0,193
25025010702,1677,8,0,262,0,153
25025010801,2118,36,4,173,0,220
25025010802,2761,0,0,183,0,157
25025020101,3658,0,0,25,0,182
25025020200,2567,37,0,236,0,160
25025020301,1373,107,1,378,0,329
25025020302,944,0,0,24,0,197
25025020304,1025,75,0,38,0,93
25025020305,2681,180,0,583,0,529
25025030100,1794,0,0,57,0,116
25025030200,1321,25,4,115,0,84
25025030301,1207,64,0,85,0,62
25025030302,1424,166,0,464,0,149
25025030400,3477,231,0,50,0,72
25025030500,1839,29,0,170,0,112
25025040100,2238,0,0,177,0,89
25025040200,789,284,0,44,0,414
25025040300,4031,263,0,201,0,215
25025040401,2054,0,0,246,0,302
25025040600,2954,139,0,341,0,239
25025040801,2189,237,0,713,0,665
25025050101,1272,27,0,92,0,3408
25025050200,1661,108,0,36,17,3420
25025050300,1446,219,0,445,0,1341
25025050400,973,41,0,55,0,1023
25025050500,765,9,0,82,21,851
25025050600,577,73,0,45,0,1730
25025050700,1072,90,0,200,0,3008
25025050901,1039,93,0,68,0,2684
25025051000,2298,261,0,168,0,1996
25025051101,2595,202,0,338,0,2941
